"","Rank_1","Rank_2","Rank_3","Rank_4","Rank_5","Rank_6","Rank_7","Rank_8"
"OTU_40766","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40767","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_4077","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40771","Root","Eukaryota","Arthropoda","Malacostraca","Decapoda","family_genus_Anomura sp. LPdivOTU131","genus_Anomura sp. LPdivOTU131","Anomura sp. LPdivOTU131"
"OTU_4078","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40784","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40797","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_4080","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40804","Root","Eukaryota","Bacillariophyta","Bacillariophyceae","unclassified_Bacillariophyceae",NA,NA,NA
"OTU_40829","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40832","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40836","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_4084","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40842","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
