"","Rank_1","Rank_2","Rank_3","Rank_4","Rank_5","Rank_6","Rank_7","Rank_8"
"OTU_39344","Root","Eukaryota","unclassified_Eukaryota",NA,NA,NA,NA,NA
"OTU_39352","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39353","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39354","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39356","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39358","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39359","Root","Eukaryota","Ascomycota","unclassified_Ascomycota",NA,NA,NA,NA
"OTU_3936","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39370","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_3938","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39380","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39385","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39386","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_3939","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39396","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39417","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39418","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39419","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39425","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39426","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39431","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_3944","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39441","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_3945","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39458","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39459","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_3946","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39486","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_3951","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39515","Root","Eukaryota","unclassified_Eukaryota",NA,NA,NA,NA,NA
"OTU_39519","Root","Eukaryota","unclassified_Eukaryota",NA,NA,NA,NA,NA
"OTU_3956","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39562","Root","Eukaryota","unclassified_Eukaryota",NA,NA,NA,NA,NA
